cue,d_q,delta,delta_sd,delta_ci_lo,delta_ci_hi,n_pairs,n_clusters,n_generators,within_class_r,family,label
weather_coherence,-0.058473547156465265,-0.001591701479827581,0.027220881188693043,-0.003675920044861839,0.0006284154383036229,1712,428,4,-0.1146301058977254,other,weather cues agree
scan_artifacts,-0.06126807375514659,-0.001322221426094967,0.02158092045425043,-0.0030350564473363225,0.000301080822592775,1712,428,4,-0.0145769182038872,other,no scan lines
cinematic_tone,-0.06798516271283545,-0.0016493076510780038,0.02425981766116474,-0.0034704120255017643,0.00031919171029525504,1712,428,4,0.00522604606198,other,cinematic tone
split_toning,-0.07063161279728261,-0.0017729592106255712,0.025101496913486617,-0.003883825272121439,0.00028041284618824606,1712,428,4,-0.0110466626249523,tone_color,subtle split toning
fabric_realism,-0.07338956423844045,-0.0019099135103054655,0.02602432008044379,-0.003904192490353057,4.159561900242728e-05,1712,428,4,-0.0521263727429528,other,visible weave pattern
text_placement,-0.08321084072196631,-0.0017357618660532362,0.02085980445568342,-0.003373832807404006,-0.00019801209875057742,1712,428,4,0.0654210379758504,other,"plausible signage
placement"
physics_contact,-0.09424709895155854,-0.002168069479653793,0.023004097778841395,-0.00394554271587416,-0.00030126456706097563,1712,428,4,-0.0267353239223714,other,solid contact and gravity
edge_halos,-0.09538311322315446,-0.0021998732464999617,0.023063550477255106,-0.004049949995077952,-0.0003313718471460324,1712,428,4,0.0614024347068177,detail_texture,no edge halos
repetition_artifacts,-0.10702574478968731,-0.0026070574737625456,0.024359162170612188,-0.004574778202632953,-0.0007582508003175702,1712,428,4,-0.0675148303545184,other,no pattern repetition
saturation,-0.10832539107163872,-0.002748978459884133,0.02537704625562952,-0.0048513987240159425,-0.000721181228846713,1712,428,4,0.0412277580073337,tone_color,balanced saturation
depth_realism,-0.10916011282401113,-0.0025178094910129818,0.023065288463673686,-0.004323312613083915,-0.0008465750669538046,1712,428,4,-0.0357761100050006,other,physically plausible blur
halo_artifacts,-0.1180466089039599,-0.002861699538426305,0.024242115593125762,-0.004639646697128185,-0.00110861523318401,1712,428,4,0.1316070300328295,other,no halo artifacts
focus_uniformity,-0.11899165387043034,-0.002722545395470015,0.022880137445896724,-0.004444848544418912,-0.0010492425364551337,1712,428,4,0.0700238044434548,physics_optics,even focus plane
banding,-0.11909047520865723,-0.002892128910019399,0.02428514039390748,-0.00486287428565379,-0.0008549580955000731,1712,428,4,0.1013689864745305,detail_texture,no banding
tint,-0.12266589790292218,-0.0028871469473721345,0.023536671534064205,-0.0046897699296074855,-0.0010465534054651896,1712,428,4,0.0528235140267278,tone_color,neutral tint
film_camera_cues,-0.12317317154185894,-0.003650144021459159,0.029634245637806773,-0.006125392654063402,-0.0011402693412867555,1712,428,4,-0.0842644763658128,provenance_process,"film grain and color
negative cues"
