test_corpus,generator,generator_display,train_set,acc,ap,n_fake,n_real
cnnspot,progan,ProGAN,synthbuster-plus,0.501125,0.6820317781610268,4000,4000
cnnspot,dalle,DALLE,synthbuster-plus,0.5125,0.6902042230968275,1000,1000
cnnspot,glide_100_10,GLIDE-100-10,synthbuster-plus,0.5165,0.7373473171075952,1000,1000
cnnspot,glide_50_27,GLIDE-50-27,synthbuster-plus,0.517,0.7442047914767047,1000,1000
cnnspot,imle,IMLE,synthbuster-plus,0.562597931682858,0.745286357749396,6382,6382
cnnspot,ldm_100,LDM-100,synthbuster-plus,0.518,0.7458410023262071,1000,1000
cnnspot,glide_100_27,GLIDE-100-27,synthbuster-plus,0.518,0.7506485134160543,1000,1000
cnnspot,ldm_200,LDM-200,synthbuster-plus,0.518,0.7552580481725771,1000,1000
cnnspot,cyclegan,CycleGAN,synthbuster-plus,0.5208175624526874,0.7640174166068596,1321,1321
cnnspot,crn,CRN,synthbuster-plus,0.5811657787527421,0.7817594466456098,6382,6382
cnnspot,seeingdark,SeeingDark,synthbuster-plus,0.5694444444444444,0.8700546517800398,180,180
cnnspot,gaugan,GauGAN,synthbuster-plus,0.5248,0.8813537367445486,5000,5000
cnnspot,ldm_200,LDM-200,synthclic,0.232,0.3282270703940888,1000,1000
cnnspot,ldm_100,LDM-100,synthclic,0.2365,0.329534357203124,1000,1000
cnnspot,progan,ProGAN,synthclic,0.250375,0.3345594386486203,4000,4000
cnnspot,glide_100_27,GLIDE-100-27,synthclic,0.263,0.3354434584859508,1000,1000
cnnspot,glide_100_10,GLIDE-100-10,synthclic,0.2675,0.3361145741891175,1000,1000
cnnspot,glide_50_27,GLIDE-50-27,synthclic,0.2815,0.3410104003855646,1000,1000
cnnspot,cyclegan,CycleGAN,synthclic,0.313777441332324,0.3457796851146458,1321,1321
cnnspot,dalle,DALLE,synthclic,0.338,0.359524632049338,1000,1000
cnnspot,guided,Guided,synthclic,0.338,0.3622970720083344,1000,1000
cnnspot,ldm_200_cfg,LDM-200-CFG,synthclic,0.411,0.3965705153675199,1000,1000
cnnspot,stylegan,StyleGAN,synthclic,0.386246035720247,0.4056386118888218,5991,5991
cnnspot,gaugan,GauGAN,synthclic,0.4192,0.4129405312087394,5000,5000
cnnspot,san,SAN,synthclic,0.4343675417661098,0.4165214099628238,219,200
cnnspot,stargan,StarGAN,synthclic,0.4517258629314657,0.4394907774587326,1999,1999
cnnspot,seeingdark,SeeingDark,synthclic,0.4638888888888889,0.4505647562723175,180,180
cnnspot,whichfaceisreal,WhichFaceIsReal,synthclic,0.4595,0.4538162946783692,1000,1000
cnnspot,stylegan2,StyleGAN2,synthclic,0.4656985478217326,0.4569417773008392,7988,7988
cnnspot,biggan,BigGAN,synthclic,0.46475,0.4676229248146187,2000,2000
cnnspot,imle,IMLE,synthclic,0.5441084299592605,0.5469648743716667,6382,6382
cnnspot,deepfake,DeepFake,synthclic,0.5454209065679926,0.6018381475660833,2698,2707
cnnspot,crn,CRN,synthclic,0.7153713569413976,0.743762740144788,6382,6382
cnnspot,san,SAN,combined,0.5465393794749404,0.6352938954404498,219,200
cnnspot,guided,Guided,combined,0.658,0.717060580763982,1000,1000
cnnspot,deepfake,DeepFake,combined,0.6530989824236818,0.7586979244906631,2698,2707
cnnspot,seeingdark,SeeingDark,combined,0.6972222222222222,0.7752157639208873,180,180
cnnspot,ldm_200_cfg,LDM-200-CFG,combined,0.74,0.8407426752719618,1000,1000
cnnspot,whichfaceisreal,WhichFaceIsReal,combined,0.7275,0.861160597113563,1000,1000
cnnspot,glide_100_27,GLIDE-100-27,combined,0.753,0.8812148263493743,1000,1000
cnnspot,dalle,DALLE,combined,0.7505,0.8900688634957767,1000,1000
cnnspot,glide_100_10,GLIDE-100-10,combined,0.7565,0.8932944049373477,1000,1000
cnnspot,glide_50_27,GLIDE-50-27,combined,0.7595,0.8956871391503708,1000,1000
cnnspot,crn,CRN,combined,0.8321059229081793,0.8970605603695989,6382,6382
cnnspot,cyclegan,CycleGAN,combined,0.631339894019682,0.9073331553351484,1321,1321
cnnspot,ldm_100,LDM-100,combined,0.769,0.9099224139891964,1000,1000
cnnspot,ldm_200,LDM-200,combined,0.7645,0.9103076358718646,1000,1000
cnnspot,stargan,StarGAN,combined,0.8669334667333667,0.920747919313593,1999,1999
cnnspot,imle,IMLE,combined,0.8468348480100282,0.9209417630568916,6382,6382
cnnspot,stylegan2,StyleGAN2,combined,0.8734977466199298,0.944298474037669,7988,7988
cnnspot,biggan,BigGAN,combined,0.788,0.9565501880240592,2000,2000
cnnspot,stylegan,StyleGAN,combined,0.9204640293773996,0.980067099437877,5991,5991
cnnspot,gaugan,GauGAN,combined,0.8159,0.9829116194038496,5000,5000
cnnspot,progan,ProGAN,combined,0.9815,0.9990732410400271,4000,4000
synthbuster-plus,dalle3,DALLE3,cnnspot,0.3275,0.3131692124911067,200,200
synthbuster-plus,FLUX.1-dev,FluxDev,cnnspot,0.3325,0.3158873399511906,200,200
synthbuster-plus,imagen3,Imagen3,cnnspot,0.3375,0.3283224484118253,200,200
synthbuster-plus,FLUX.1-schnell,FluxSchnell,cnnspot,0.345,0.3313073111912112,200,200
synthbuster-plus,midjourney-v5,MJv5,cnnspot,0.365,0.3488204859902204,200,200
synthbuster-plus,SD3-medium,SD3M,cnnspot,0.4025,0.3990980377331853,200,200
synthbuster-plus,stable-diffusion-1-4,SD1.4,cnnspot,0.4825,0.4987718166134908,200,200
synthbuster-plus,stable-diffusion-1-3,SD1.3,cnnspot,0.48,0.5211952420344144,200,200
synthbuster-plus,firefly,Firefly,cnnspot,0.5325,0.5712232403798528,200,200
synthbuster-plus,stable-diffusion-xl,SDXL,cnnspot,0.55,0.6281234661046496,200,200
synthbuster-plus,glide,Glide,cnnspot,0.6125,0.7029293185010173,200,200
synthbuster-plus,dalle2,DALLE2,cnnspot,0.6475,0.7278315654717217,200,200
synthbuster-plus,stable-diffusion-2,SD2,cnnspot,0.6525,0.7640116738126008,200,200
synthbuster-plus,dalle2,DALLE2,synthbuster-plus,0.88,0.9718695273890676,200,200
synthbuster-plus,midjourney-v5,MJv5,synthbuster-plus,0.8975,0.9933576451345656,200,200
synthbuster-plus,imagen3,Imagen3,synthbuster-plus,0.9,0.9934119883048456,200,200
synthbuster-plus,firefly,Firefly,synthbuster-plus,0.8975,0.9934699274011798,200,200
synthbuster-plus,FLUX.1-schnell,FluxSchnell,synthbuster-plus,0.8975,0.9968978864251586,200,200
synthbuster-plus,stable-diffusion-2,SD2,synthbuster-plus,0.9,0.997207678951403,200,200
synthbuster-plus,stable-diffusion-1-4,SD1.4,synthbuster-plus,0.9,0.998304865452934,200,200
synthbuster-plus,stable-diffusion-xl,SDXL,synthbuster-plus,0.9,0.9985179267538772,200,200
synthbuster-plus,stable-diffusion-1-3,SD1.3,synthbuster-plus,0.9,0.9986974774904788,200,200
synthbuster-plus,FLUX.1-dev,FluxDev,synthbuster-plus,0.9,0.9987575985652324,200,200
synthbuster-plus,glide,Glide,synthbuster-plus,0.9,0.9988294330661672,200,200
synthbuster-plus,SD3-medium,SD3M,synthbuster-plus,0.9,0.999054420738014,200,200
synthbuster-plus,dalle3,DALLE3,synthbuster-plus,0.9,0.9996665438596396,200,200
synthbuster-plus,dalle2,DALLE2,synthclic,0.39,0.4305757004027131,200,200
synthbuster-plus,glide,Glide,synthclic,0.5325,0.567002561955485,200,200
synthbuster-plus,stable-diffusion-2,SD2,synthclic,0.5,0.5823053563676165,200,200
synthbuster-plus,firefly,Firefly,synthclic,0.5725,0.6304091527928212,200,200
synthbuster-plus,stable-diffusion-1-3,SD1.3,synthclic,0.66,0.7732759680899628,200,200
synthbuster-plus,stable-diffusion-xl,SDXL,synthclic,0.6425,0.7768012784561259,200,200
synthbuster-plus,stable-diffusion-1-4,SD1.4,synthclic,0.6875,0.7799769671493966,200,200
synthbuster-plus,midjourney-v5,MJv5,synthclic,0.75,0.9314931587714452,200,200
synthbuster-plus,imagen3,Imagen3,synthclic,0.7575,0.953746157006901,200,200
synthbuster-plus,SD3-medium,SD3M,synthclic,0.765,0.962178884712846,200,200
synthbuster-plus,FLUX.1-dev,FluxDev,synthclic,0.765,0.9725889114134196,200,200
synthbuster-plus,FLUX.1-schnell,FluxSchnell,synthclic,0.7675,0.9804913610785272,200,200
synthbuster-plus,dalle3,DALLE3,synthclic,0.77,0.9811897212116056,200,200
synthbuster-plus,dalle2,DALLE2,combined,0.755,0.8825416824180279,200,200
synthbuster-plus,firefly,Firefly,combined,0.8025,0.9699868840891218,200,200
synthbuster-plus,imagen3,Imagen3,combined,0.8075,0.9747410282928166,200,200
synthbuster-plus,stable-diffusion-2,SD2,combined,0.8075,0.9755451963714572,200,200
synthbuster-plus,glide,Glide,combined,0.8075,0.9755605900484614,200,200
synthbuster-plus,midjourney-v5,MJv5,combined,0.81,0.9820597298405612,200,200
synthbuster-plus,stable-diffusion-1-4,SD1.4,combined,0.8125,0.9826773757513744,200,200
synthbuster-plus,FLUX.1-dev,FluxDev,combined,0.8125,0.9858294427414166,200,200
synthbuster-plus,FLUX.1-schnell,FluxSchnell,combined,0.8125,0.9895212733534512,200,200
synthbuster-plus,SD3-medium,SD3M,combined,0.815,0.9895853164377804,200,200
synthbuster-plus,stable-diffusion-1-3,SD1.3,combined,0.815,0.9913683797147964,200,200
synthbuster-plus,stable-diffusion-xl,SDXL,combined,0.815,0.9919065934138164,200,200
synthbuster-plus,dalle3,DALLE3,combined,0.815,0.9981406292187426,200,200
synthclic,FLUX.1-dev,FLUXDev,cnnspot,0.4894859813084112,0.4656191724922806,428,428
synthclic,imagen3,Imagen3,cnnspot,0.4941588785046729,0.4828853883159911,428,428
synthclic,FLUX.1-schnell,FLUXSchnell,cnnspot,0.5046728971962616,0.5305267685059007,428,428
synthclic,SD3-medium,SD3M,cnnspot,0.5245327102803738,0.6064017676399609,428,428
synthclic,imagen3,Imagen3,synthbuster-plus,0.5011682242990654,0.5788899260606699,428,428
synthclic,FLUX.1-dev,FLUXDev,synthbuster-plus,0.5,0.583170428074088,428,428
synthclic,FLUX.1-schnell,FLUXSchnell,synthbuster-plus,0.5,0.6121200858761846,428,428
synthclic,SD3-medium,SD3M,synthbuster-plus,0.5011682242990654,0.6706866725463749,428,428
synthclic,imagen3,Imagen3,synthclic,0.6985981308411215,0.8810853044800724,428,428
synthclic,SD3-medium,SD3M,synthclic,0.7091121495327103,0.9272566550511182,428,428
synthclic,FLUX.1-dev,FLUXDev,synthclic,0.7067757009345794,0.9325701387140636,428,428
synthclic,FLUX.1-schnell,FLUXSchnell,synthclic,0.7102803738317757,0.9545957669072735,428,428
synthclic,imagen3,Imagen3,combined,0.639018691588785,0.8025447793392888,428,428
synthclic,FLUX.1-dev,FLUXDev,combined,0.647196261682243,0.8681639226041638,428,428
synthclic,SD3-medium,SD3M,combined,0.6565420560747663,0.8888418678177832,428,428
synthclic,FLUX.1-schnell,FLUXSchnell,combined,0.6530373831775701,0.908441743552642,428,428
