dataset,split,source,attribute,n,q25,median,q75
synthclic,train,SD3-medium,beauty,1633,0.908001488664168,0.969118947475006,0.9904548059146483
synthclic,train,SD3-medium,brightness,1633,0.5086593303740494,0.8378808295560778,0.9655444132802344
synthclic,train,SD3-medium,colorfulness,1633,0.47860563104279247,0.8409970462827543,0.9693017592135773
synthclic,train,SD3-medium,complexity,1633,0.27409558090901776,0.4902303071203564,0.7168388582234791
synthclic,train,SD3-medium,contrast,1633,0.25266180327761806,0.4138496598020117,0.5649885574992849
synthclic,train,SD3-medium,happiness,1633,0.3739402746819088,0.656292465975664,0.8433137326587631
synthclic,train,SD3-medium,loneliness,1633,0.6475169057315784,0.8411415390903244,0.9403250848402259
synthclic,train,SD3-medium,naturalness,1633,0.5095060351467703,0.7662531570689893,0.905445496052507
synthclic,train,SD3-medium,newness,1633,0.656831032412011,0.7933945506081297,0.8814435151483448
synthclic,train,SD3-medium,noisiness,1633,0.08716221167956541,0.19291722719382762,0.4019446732560803
synthclic,train,SD3-medium,quality,1633,0.876586222576526,0.9571212924424531,0.9842581352170047
synthclic,train,SD3-medium,realness,1633,0.15040735352833465,0.3884231774283743,0.7251286017200884
synthclic,train,SD3-medium,relaxation,1633,0.8527287691971284,0.9697819387849442,0.9944490172737807
synthclic,train,SD3-medium,scariness,1633,0.056152449289213854,0.34479010339223376,0.7826632972271581
synthclic,train,SD3-medium,sharpness,1633,0.8499350722418753,0.9490253201914591,0.9867619793640123
synthclic,train,SD3-medium,warmness,1633,0.5720612660442903,0.7736732537348355,0.8884893290550646
synthclic,train,clic2020,beauty,1633,0.6986899952285693,0.8923326291886837,0.9672405681174051
synthclic,train,clic2020,brightness,1633,0.30829454578296117,0.6768802418984968,0.8969071926770332
synthclic,train,clic2020,colorfulness,1633,0.13233615878532246,0.44989663336597013,0.8014973877564973
synthclic,train,clic2020,complexity,1633,0.298949046308374,0.48434841961235964,0.6942506750573376
synthclic,train,clic2020,contrast,1633,0.17276818971592167,0.31475875366081807,0.4667737881405051
synthclic,train,clic2020,happiness,1633,0.39453736221168395,0.6385623124019768,0.8355717716353234
synthclic,train,clic2020,loneliness,1633,0.7284455245404535,0.8811814767420466,0.9541673075201701
